ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto
iDR3.SPLUS-s27s34.036668,54.555192567681424,-34.361462166455816,0.023736164,0.5940381,2.4632854,"[,2.965747,6.624237,8.964985,11.686757]",9.779975,3,9.104795,18.372902,2.5633848,22.274868,2.0048854,20.950212,0.5317907,99.0,20.651947,20.743795,0.67077565,20.75731,0.6650738,21.419584,0.7500309,20.516329,0.6785433,20.64611,0.33337885,21.130487,20.97974,20.2576,0.2576559,19.701965,0.17770308,19.308292,0.269445,19.041565,0.18065418
iDR3.SPLUS-s27s34.036669,54.064778724294044,-34.364399517986335,0.38263234,0.37264234,1.5939871,"[1.4659809,3.8217814,6.046342,8.628315]",6.51124,14,7.573221,17.302734,2.1039011,99.0,21.470964,99.0,21.615349,20.389389,0.487834,99.0,20.80195,24.72576,21.874475,21.381866,0.61944944,99.0,20.941126,20.310486,0.20887743,20.591063,20.519604,20.353031,0.23979162,19.5092,0.12740849,19.323,0.23370436,19.108837,0.16438915
iDR3.SPLUS-s27s34.036683,53.49903411144499,-34.362406361751525,0.34953138,0.27038217,1.3705806,"[1.286476,2.5956297,3.2824006,4.7297416]",0.0,0,7.379065,18.391136,0.97017616,21.730644,0.4875762,22.713835,1.0776969,25.41535,23.198702,22.466938,1.3692211,22.357983,1.21358,22.718992,1.0364293,99.0,20.941126,21.53705,0.31047735,21.638325,21.20141,21.670734,0.38744396,21.40244,0.35635188,99.0,20.858423,23.857723,6.323198
iDR3.SPLUS-s27s34.036701,54.42173783497993,-34.488158703238895,0.3046104,0.2623875,1.3557255,"[0.9172723,1.7289178,2.9597342,5.7783318]",0.0,1,7.9140506,18.484594,0.9630553,22.88686,1.5616728,99.0,21.615349,24.219696,8.56623,22.422401,1.3849957,24.604837,10.075375,23.07438,1.5145195,99.0,20.941126,22.234905,0.63455576,22.365652,22.016134,22.559004,0.9431938,22.629992,1.1515185,20.227465,0.27683383,20.69429,0.36316878
iDR3.SPLUS-s27s34.036704,54.229363825943125,-34.365165150570455,0.36627012,0.41953236,1.722749,"[,1.3895664,2.1524146,3.0079837,-31.224957]",0.0,1,6.690686,18.382288,1.1700091,23.844486,3.4516096,99.0,21.615349,21.936378,0.96636564,99.0,20.80195,22.393087,1.2208217,22.117132,0.58102566,99.0,20.941126,22.005589,0.47359547,22.173826,22.476465,21.591675,0.35808253,21.445833,0.35934708,21.589058,0.89241993,21.325964,0.6004438
iDR3.SPLUS-s27s34.036716,54.96421612143251,-34.36191266696466,0.039696522,0.2816103,1.3920021,"[1.5823914,3.17132,4.663272,9.992634]",9.027578,8,6.79191,17.98306,1.7795303,20.884525,0.37247205,21.132261,0.42056087,99.0,20.651947,21.072123,0.61955976,22.066551,1.5090711,20.703041,0.26504546,22.765549,3.6585002,21.11557,0.34520072,21.167635,21.948963,21.192074,0.40878686,20.404308,0.23060332,19.535732,0.22627069,19.67512,0.22002225
iDR3.SPLUS-s27s34.036736,54.93597216421854,-34.363675362166816,0.046287775,0.36405063,1.5724523,"[1.1745162,2.3512797,5.8303804,6.6905985]",7.0167418,4,7.2379236,18.1078,1.4729936,99.0,21.470964,99.0,21.615349,21.461887,0.8497557,99.0,20.80195,99.0,21.161001,21.915842,0.6712268,20.763468,0.48401648,21.650806,0.46961266,21.771557,21.778337,23.446781,2.7017393,20.975838,0.32429296,23.173916,5.3315353,21.711905,1.1902614
iDR3.SPLUS-s27s34.036751,54.18962197689377,-34.46699730489872,0.007701091,0.26185745,1.3547518,"[1.2463554,2.2757404,3.4993098,6.6985445]",5.458543,12,6.8911653,17.773836,1.6262808,22.242378,1.279975,99.0,21.615349,21.085573,0.71424234,20.514956,0.35971597,21.720713,1.059208,21.814024,0.70806396,20.934778,0.6553725,21.266758,0.38732433,21.169033,20.969679,20.460209,0.20438193,20.59244,0.2636983,21.430975,1.2411457,19.340546,0.15594487
iDR3.SPLUS-s27s34.036755,54.32174187878568,-34.36575575352425,0.18785647,0.39270055,1.6466341,"[0.9095012,1.7295939,2.5012615,3.2021956]",3.523644,4,7.020369,18.07305,1.3742259,99.0,21.470964,23.668,3.2881966,21.933191,1.2032962,22.282204,1.4047498,99.0,21.161001,99.0,21.81472,22.955357,3.2528713,22.37013,0.82734334,22.441927,21.997974,24.707518,7.843595,20.99773,0.29720712,20.867996,0.57468945,20.56488,0.3726675
iDR3.SPLUS-s27s34.036756,54.35815301999612,-34.4666358104578,0.33855554,0.13234824,1.1525362,"[1.2167228,2.2906485,4.8693604,6.787873]",5.500532,4,7.4908066,17.95907,1.1313121,21.949577,0.7986308,22.80404,1.5683885,99.0,20.651947,21.54094,0.74687004,99.0,21.161001,22.078117,0.7334313,22.613617,2.4900033,21.990133,0.6129589,22.008461,21.937834,23.259111,2.1723373,20.87182,0.27719367,21.45207,1.0284437,20.838268,0.50135386
iDR3.SPLUS-s27s34.036762,54.088214674049254,-34.301951963845696,0.33143723,0.48140585,1.9282902,"[0.98325175,1.9103292,2.5597057,3.8267567]",0.0,1,7.710929,18.442827,1.161577,23.703835,3.1988235,22.878693,1.3430505,99.0,20.651947,99.0,20.80195,23.394268,3.2493885,99.0,21.81472,22.682695,2.153146,21.605917,0.3471097,21.662998,21.89098,23.08041,1.4824809,22.036333,0.65579754,99.0,20.858423,21.201353,0.5684304
iDR3.SPLUS-s27s34.036764,54.23172601504667,-34.366245492486044,0.031179816,0.4479305,1.8113663,"[1.4996421,4.182029,7.400449,8.669796]",6.8599467,6,7.1102433,18.058702,1.5459695,99.0,21.470964,99.0,21.615349,21.575714,0.9427342,21.284975,0.614474,22.141428,1.3171504,21.707287,0.54249895,21.65922,1.0769662,21.003508,0.2569952,22.086723,21.461685,21.017694,0.28750837,20.554111,0.21574052,20.306654,0.37423247,20.263159,0.3078761
iDR3.SPLUS-s27s34.036766,54.526295864951734,-34.36406184054105,0.3662429,0.8106698,5.2817764,"[1.009805,1.8394984,3.0360105,3.5785265]",4.592726,1,7.4463964,18.380194,1.7787164,21.81326,0.5131707,23.05214,1.4331751,99.0,20.651947,99.0,20.80195,99.0,21.161001,22.220043,0.61167586,22.095299,1.1316893,22.30802,0.60001385,22.142357,22.274214,21.763355,0.40231103,99.0,21.821413,21.869596,1.1072954,21.125383,0.47890317
iDR3.SPLUS-s27s34.036784,54.46105404378872,-34.36421564789803,0.28552294,0.28079057,1.3904155,"[1.361146,3.0871649,5.0990224,6.6931863]",6.304489,3,7.0763273,18.228277,1.2459954,21.458832,0.48141673,21.190767,0.34059244,20.919474,0.47599056,21.030834,0.44692233,21.558718,0.70760673,21.971575,0.63276494,20.672138,0.39924815,21.164133,0.27319166,21.132065,21.240107,20.961376,0.25070244,20.877394,0.2660874,99.0,20.858423,20.377148,0.3131903
iDR3.SPLUS-s27s34.036806,54.553875984178156,-34.36634553418521,0.46249288,0.4801829,1.9237535,"[1.3036537,2.6455362,3.3361108,4.5847273]",7.024441,2,7.945928,18.405266,1.6310164,20.941494,0.3736637,99.0,21.615349,21.896072,1.4453517,22.872583,3.006172,99.0,21.161001,22.090515,0.88106817,20.994492,0.6682009,21.304712,0.38741672,21.840065,21.772734,22.835484,1.7457701,99.0,21.821413,19.83211,0.27686214,20.959059,0.6673859
iDR3.SPLUS-s27s34.036809,54.96790127351302,-34.3637984909648,0.38109943,0.2410953,1.3176886,"[0.9401743,1.6859686,2.4918742,4.3172293]",4.3956976,2,7.6427126,18.409128,0.8512072,21.99953,0.57292134,22.318333,0.6907832,20.980452,0.3681346,99.0,20.80195,99.0,21.161001,25.11551,8.441586,23.642096,4.5145907,21.715004,0.33112213,21.969238,21.737404,21.794403,0.39320728,22.086723,0.5966468,21.09375,0.5220906,21.00544,0.41218105
iDR3.SPLUS-s27s34.036811,54.119461748224786,-34.23454405828548,0.24032785,0.2722581,1.3741136,"[1.3785086,2.5196118,3.7912972,7.8283167]",6.9075847,3,7.051697,18.308544,1.3557615,23.175014,2.4790194,99.0,21.615349,21.84936,1.1821284,22.109518,1.3209631,23.399416,4.230385,21.904076,0.6572637,20.625982,0.42259336,22.183664,0.75846493,22.284304,22.365973,99.0,21.907152,21.445015,0.49100447,20.65148,0.51412725,19.969994,0.23560533
iDR3.SPLUS-s27s34.036815,54.829451703385395,-34.35083431737175,0.38878447,0.36147624,1.5661125,"[1.9612987,5.9782963,7.9909105,7.9909105]",6.3500576,3,9.55405,18.180414,1.3318185,20.365868,0.2324338,21.27264,0.47919983,20.954659,0.6428555,99.0,20.80195,21.594635,0.976753,20.949556,0.33151472,21.63279,1.287886,21.429998,0.4613712,21.707788,21.600088,21.358042,0.47673705,20.725748,0.30971277,99.0,20.858423,20.165195,0.34450975
iDR3.SPLUS-s27s34.036817,54.07589867369978,-34.3664927906938,0.34312207,0.48967487,1.9595351,"[0.96405095,1.7667099,2.3741,3.0188668]",0.9650718,1,7.4910855,18.399267,1.3907357,22.99065,1.9351617,22.355854,0.9688299,99.0,20.651947,21.417538,0.6283177,23.401056,3.7894676,99.0,21.81472,21.489798,0.8342873,21.52005,0.37278503,21.94251,21.529264,99.0,21.907152,21.094883,0.3208299,20.471254,0.39431313,23.352701,4.7812138
iDR3.SPLUS-s27s34.036825,54.2045001755194,-34.30935537860963,0.36645705,0.4049902,1.6806445,"[1.2067696,3.4242916,4.305415,5.3017187]",0.0,1,8.681684,18.39622,0.8836198,24.119408,4.424777,99.0,21.615349,22.61434,1.7880108,21.343853,0.480457,99.0,21.161001,22.240223,0.65184844,22.069952,1.1567112,22.104837,0.51798385,21.847979,21.733736,23.671804,2.4119468,21.924673,0.5582991,22.013374,1.3196537,21.034227,0.45991948
